month,Glass,Hazardous,Metals,Other,Paper,Plastics,Tyres
1/7/2019,1919,5943,239526,22658,87339,13130,11298
1/8/2019,2011,6798,216752,14621,82116,6580,9496
1/9/2019,2686,5749,185958,27672,89285,8774,10567
1/10/2019,2208,6341,201695,28901,83713,11165,8164
1/11/2019,2401,4238,220273,21185,95035,11246,6974
1/12/2019,360,4598,271740,23756,83651,11738,7629
1/1/2020,2933,1553,119031,12614,97891,8176,4194
1/2/2020,5285,4518,169455,40741,100045,8694,7252
1/3/2020,4162,4311,282831,19950,102299,9368,5862
1/4/2020,1646,5201,249369,43396,90159,7287,3581
1/5/2020,259,4887,174392,37132,65514,6815,5153
1/6/2020,8,5692,213311,31066,89165,10001,4900
