Entity,Code,Year,Global_plastics_production
World,OWID_WRL,1950,2
World,OWID_WRL,1951,2
World,OWID_WRL,1952,2
World,OWID_WRL,1953,3
World,OWID_WRL,1954,3
World,OWID_WRL,1955,4
World,OWID_WRL,1956,5
World,OWID_WRL,1957,5
World,OWID_WRL,1958,6
World,OWID_WRL,1959,7
World,OWID_WRL,1960,8
World,OWID_WRL,1961,9
World,OWID_WRL,1962,11
World,OWID_WRL,1963,13
World,OWID_WRL,1964,15
World,OWID_WRL,1965,17
World,OWID_WRL,1966,20
World,OWID_WRL,1967,23
World,OWID_WRL,1968,27
World,OWID_WRL,1969,32
World,OWID_WRL,1970,35
World,OWID_WRL,1971,38
World,OWID_WRL,1972,44
World,OWID_WRL,1973,51
World,OWID_WRL,1974,52
World,OWID_WRL,1975,46
World,OWID_WRL,1976,54
World,OWID_WRL,1977,59
World,OWID_WRL,1978,64
World,OWID_WRL,1979,71
World,OWID_WRL,1980,70
World,OWID_WRL,1981,72
World,OWID_WRL,1982,73
World,OWID_WRL,1983,80
World,OWID_WRL,1984,86
World,OWID_WRL,1985,90
World,OWID_WRL,1986,96
World,OWID_WRL,1987,104
World,OWID_WRL,1988,110
World,OWID_WRL,1989,114
World,OWID_WRL,1990,120
World,OWID_WRL,1991,124
World,OWID_WRL,1992,132
World,OWID_WRL,1993,137
World,OWID_WRL,1994,151
World,OWID_WRL,1995,156
World,OWID_WRL,1996,168
World,OWID_WRL,1997,180
World,OWID_WRL,1998,188
World,OWID_WRL,1999,202
World,OWID_WRL,2000,213
World,OWID_WRL,2001,218
World,OWID_WRL,2002,231
World,OWID_WRL,2003,241
World,OWID_WRL,2004,256
World,OWID_WRL,2005,263
World,OWID_WRL,2006,280
World,OWID_WRL,2007,295
World,OWID_WRL,2008,281
World,OWID_WRL,2009,288
World,OWID_WRL,2010,313
World,OWID_WRL,2011,325
World,OWID_WRL,2012,338
World,OWID_WRL,2013,352
World,OWID_WRL,2014,367
World,OWID_WRL,2015,381
